source,description,category,n_days,coverage,corr_1d,ic_1d,ic_5d,ic_20d,granger_f,best_feature,best_ic,verdict,abs_best_ic
^VIX,CBOE Volatility Index,volatility,3051,1.0,0.03026867946939028,0.0002605413158841284,0.012301936932605211,-0.007743549525544665,5.620917489162112,level__fwd_20d,0.2173253997310955,STRONG,0.2173253997310955
XLF,Financials Sector ETF,sector,3051,1.0,-0.11906231569887542,-0.037510712922337555,-0.03167145843639177,-0.0311117917493756,4.665637723802515,zscore_60d__fwd_20d,-0.214298338690686,STRONG,0.214298338690686
USO,Oil ETF,commodities,3051,1.0,-0.03970119119421037,0.0009741924070214403,-0.039776157733977024,-0.009918803382484494,3.5533150856875966,level__fwd_20d,-0.21048852669139795,STRONG,0.21048852669139795
^FVX,5-Year Treasury Yield,rates,3049,0.9993444772205834,-0.08927742686714127,-0.04348707014416018,-0.05592480384386443,-0.04973103091990006,3.1681281002501587,zscore_60d__fwd_20d,-0.19188731368479764,STRONG,0.19188731368479764
SHY,1-3 Year Treasury ETF,bonds,3051,1.0,0.05377513294896609,0.032384821999264374,0.05052947724330382,0.057965712014563936,2.3865543082274434,zscore_60d__fwd_20d,0.18090754064432543,STRONG,0.18090754064432543
TIP,TIPS (Inflation-Protected),bonds,3051,1.0,0.04334295256843868,0.04294204370083133,0.053100726658865095,0.06692025425423304,9.701765265155656,zscore_60d__fwd_20d,0.16739271214894283,STRONG,0.16739271214894283
AGG,US Aggregate Bond ETF,bonds,3051,1.0,0.01896336835044678,0.04337904476228802,0.07669652118827078,0.06818075459675259,4.965338854293286,pctile_252d__fwd_20d,0.16257923728624454,STRONG,0.16257923728624454
^IRX,13-Week Treasury Bill,rates,3049,0.9993444772205834,0.055976892747898944,0.009747618271851256,0.005616979820304856,-0.011641805539897835,7.473002913280921,pctile_252d__fwd_20d,-0.1608532514014695,STRONG,0.1608532514014695
^TNX,10-Year Treasury Yield,rates,3049,0.9993444772205834,-0.10927739512959547,-0.0457421628533241,-0.06551074225674719,-0.04955996754313785,5.825016091580433,pctile_252d__fwd_20d,-0.1552962286614988,STRONG,0.1552962286614988
yield_curve_10_13w,Derived: yield_curve_10_13w,derived,3050,0.9996722386102918,-0.024829406599134095,-0.031691164891433005,-0.07430151092461779,-0.15198096407746317,4.616612354082943,combo__fwd_20d,-0.15198096407746317,STRONG,0.15198096407746317
real_yield_proxy,Derived: real_yield_proxy,derived,2933,0.9613241560144214,-0.06177337484987917,-0.0702877207607017,-0.13354438829874468,-0.14560319164587632,4.820152307714441,combo__fwd_20d,-0.14560319164587632,STRONG,0.14560319164587632
GLD,Gold ETF,commodities,3051,1.0,0.02701346587020279,0.04237742847824669,0.016152961756577433,0.029770228666063565,1.0273400891404645,level__fwd_20d,0.12472133529342212,STRONG,0.12472133529342212
LQD,Investment Grade Corp Bonds,bonds,3051,1.0,0.043633788798471324,0.04118405117981393,0.06111759094723388,0.06614278286845286,7.788144550664377,zscore_60d__fwd_20d,0.12281891544597114,STRONG,0.12281891544597114
^TYX,30-Year Treasury Yield,rates,3049,0.9993444772205834,-0.0916329466593661,-0.04196943686906606,-0.056480447848964076,-0.043498337246905695,3.8388793973681086,zscore_60d__fwd_20d,-0.10746274892143376,STRONG,0.10746274892143376
DBC,Broad Commodities ETF,commodities,3051,1.0,-0.038491981443765304,-0.00214629539097765,-0.035536667294899585,0.0015781443179609628,1.8866530165167508,level__fwd_20d,-0.10249510584229501,STRONG,0.10249510584229501
JNK,High Yield (Junk) Bonds,bonds,3051,1.0,-0.06426974301484191,0.005020038537987331,0.010464529576816284,0.020566832653179996,3.839783914837516,zscore_60d__fwd_20d,-0.08993674906156575,STRONG,0.08993674906156575
vix_vs_ma20,Derived: vix_vs_ma20,derived,3033,0.9941002949852508,-0.0032500490141295062,0.02295600392113518,0.05865890966537665,0.027726487025631512,5.776272978107973,combo__fwd_5d,0.05865890966537665,MODERATE,0.05865890966537665
oil_fin_diverge,Derived: oil_fin_diverge,derived,3047,0.9986889544411668,0.010805599449937739,0.0018576808073450207,-0.04253732342882504,0.026291410442005034,1.085316023682368,combo__fwd_5d,-0.04253732342882504,MODERATE,0.04253732342882504
yield_curve_10_5,Derived: yield_curve_10_5,derived,3050,0.9996722386102918,0.013734567566035721,0.011963266882946669,0.00848912210338779,0.008811664644066441,0.6222167296320747,combo__fwd_1d,0.011963266882946669,WEAK,0.011963266882946669
credit_spread_proxy,Derived: credit_spread_proxy,derived,3047,0.9986889544411668,-0.012045091884975313,-0.0064416626396393666,-0.0058606569216776766,-0.0018188544917176754,13.547722205094775,combo__fwd_1d,-0.0064416626396393666,WEAK,0.0064416626396393666
